,Date,HPI_House_Land,HPI_House,HPI_Land,Index,joinProvince,joinMonth,joinYear
408,Dec-14,95.5,94.9,96.8E,201612=100,Canada,12,2014
409,Jan-15,95.5,94.8,96.9E,201612=100,Canada,01,2015
410,Feb-15,95.6,95,97.0E,201612=100,Canada,02,2015
411,Mar-15,95.7,95,97.0E,201612=100,Canada,03,2015
412,Apr-15,95.7,95.1,97.0E,201612=100,Canada,04,2015
413,May-15,95.9,95.1,97.6E,201612=100,Canada,05,2015
414,Jun-15,96.1,95.3,97.9E,201612=100,Canada,06,2015
415,Jul-15,96.2,95.5,97.9E,201612=100,Canada,07,2015
416,Aug-15,96.5,95.8,98.0E,201612=100,Canada,08,2015
417,Sep-15,96.6,95.9,98.0E,201612=100,Canada,09,2015
418,Oct-15,96.8,96.2,98.1E,201612=100,Canada,10,2015
419,Nov-15,96.9,96.4,98.1E,201612=100,Canada,11,2015
420,Dec-15,97,96.5,98.1E,201612=100,Canada,12,2015
421,Jan-16,97.1,96.7,98.1E,201612=100,Canada,01,2016
422,Feb-16,97.3,97,98.1E,201612=100,Canada,02,2016
423,Mar-16,97.5,97.2,98.1E,201612=100,Canada,03,2016
424,Apr-16,97.7,97.6,98.1E,201612=100,Canada,04,2016
425,May-16,98.5,98.5,98.5E,201612=100,Canada,05,2016
426,Jun-16,98.6,98.5,98.6E,201612=100,Canada,06,2016
427,Jul-16,99,99,98.7E,201612=100,Canada,07,2016
428,Aug-16,99.1,99.3,98.7E,201612=100,Canada,08,2016
429,Sep-16,99.3,99.3,99.0E,201612=100,Canada,09,2016
430,Oct-16,99.7,99.8,99.5E,201612=100,Canada,10,2016
431,Nov-16,99.9,99.9,100.0E,201612=100,Canada,11,2016
432,Dec-16,100,100,100.0E,201612=100,Canada,12,2016
433,Jan-17,100.1,99.9,100.4E,201612=100,Canada,01,2017
434,Feb-17,100.5,100.2,100.9E,201612=100,Canada,02,2017
435,Mar-17,100.7,100.4,101.3E,201612=100,Canada,03,2017
436,Apr-17,101.5,101.2,102.3E,201612=100,Canada,04,2017
437,May-17,102.2,101.7,103.1E,201612=100,Canada,05,2017
438,Jun-17,102.4,102.1,103.1E,201612=100,Canada,06,2017
439,Jul-17,102.8,102.7,103.3E,201612=100,Canada,07,2017
440,Aug-17,102.9,102.8,103.3E,201612=100,Canada,08,2017
441,Sep-17,103.1,102.9,103.6E,201612=100,Canada,09,2017
442,Oct-17,103.2,103.1,103.6E,201612=100,Canada,10,2017
443,Nov-17,103.3,103.2,103.6E,201612=100,Canada,11,2017
444,Dec-17,103.3,103.2,103.7E,201612=100,Canada,12,2017
445,Jan-18,103.3,103.2,103.7E,201612=100,Canada,01,2018
446,Feb-18,103.1,102.9,103.8E,201612=100,Canada,02,2018
447,Mar-18,103.1,102.9,103.7E,201612=100,Canada,03,2018
448,Apr-18,103.1,102.7,103.7E,201612=100,Canada,04,2018
449,May-18,103.1,102.7,103.8E,201612=100,Canada,05,2018
450,Jun-18,103.2,103,103.9E,201612=100,Canada,06,2018
451,Jul-18,103.3,103.1,103.9E,201612=100,Canada,07,2018
452,Aug-18,103.3,103,103.9E,201612=100,Canada,08,2018
453,Sep-18,103.3,102.9,104.0E,201612=100,Canada,09,2018
454,Oct-18,103.3,102.9,104.0E,201612=100,Canada,10,2018
455,Nov-18,103.3,102.9,104.1E,201612=100,Canada,11,2018
456,Dec-18,103.3,102.9,104.1E,201612=100,Canada,12,2018
457,Jan-19,103.2,102.8,104.1E,201612=100,Canada,01,2019
458,Feb-19,103.2,102.8,104.1E,201612=100,Canada,02,2019
459,Mar-19,103.2,102.8,104.1E,201612=100,Canada,03,2019
460,Apr-19,103.2,102.6,104.1E,201612=100,Canada,04,2019
461,May-19,103.1,102.5,104.2E,201612=100,Canada,05,2019
462,Jun-19,103,102.4,104.2E,201612=100,Canada,06,2019
463,Jul-19,102.9,102.2,104.1E,201612=100,Canada,07,2019
464,Aug-19,103,102.3,104.2E,201612=100,Canada,08,2019
465,Sep-19,103.2,102.6,104.2E,201612=100,Canada,09,2019
466,Oct-19,103.3,102.7,104.2E,201612=100,Canada,10,2019
467,Nov-19,103.2,102.5,104.3E,201612=100,Canada,11,2019
468,Dec-19,103.4,102.8,104.4E,201612=100,Canada,12,2019
469,Jan-20,103.4,102.6,104.8E,201612=100,Canada,01,2020
